Year,Distance,Owner,Fuel,Location,Drive,Type,Price,Brand,Model
2020,16996,1,Petrol,UP-32,Manual,Hatchback,540000,Hyundai,Grand I10
2013,39769,2,Petrol,HR-02,Manual,Hatchback,295000,Maruti,Wagon R 1.0
2022,14981,1,Petrol,PB-08,Manual,Hatchback,547000,Maruti,Celerio
2020,62593,1,Diesel,KA-26,Automatic,Sedan,1341000,Toyota,Yaris
2021,73424,1,Petrol,BR-02,Manual,Sedan,530000,Tata,Tigor
2020,46469,1,Petrol,WB-06,Manual,Hatchback,555000,Maruti,Swift
2019,58315,1,Petrol,KL-22,Manual,Hatchback,299000,Maruti,Alto 800
2016,53917,2,Diesel,TN-02,Manual,Hatchback,625000,Maruti,Swift
2016,31324,2,Petrol,HR-26,Manual,Hatchback,513000,Maruti,Swift
2012,62544,2,Petrol,MH-12,Manual,Hatchback,343000,Hyundai,I20
2012,59553,2,Petrol,MH-12,Manual,Hatchback,357000,Hyundai,I20
2016,97711,1,Diesel,HR-30,Manual,SUV,485000,Ford,Ecosport
2022,5103,1,Petrol,TN-10,Automatic,Hatchback,580000,Maruti,S Presso
2020,100831,1,Petrol,Unknown,Manual,Sedan,325000,Skoda,Rapid
2017,33218,3,Petrol,MH-04,Manual,Hatchback,372000,Hyundai,Grand I10
2015,63649,1,Petrol,KA-51,Manual,Hatchback,486000,Hyundai,Grand I10
2015,34871,1,Petrol,DL-2C,Manual,Hatchback,287000,Maruti,Alto 800
2017,45074,1,Petrol,PB-65,Manual,Hatchback,504000,Hyundai,Grand I10
2014,32253,2,Petrol,MH-04,Manual,Sedan,440000,Honda,Amaze
2014,76339,1,Petrol,MH-08,Manual,Hatchback,216000,Maruti,Alto 800
2012,10266,1,Petrol,GJ-27,Automatic,Sedan,1167000,Skoda,Rapid
2021,7353,1,Petrol,HR-98,Manual,SUV,1117000,Renault,Duster
2015,71205,2,Petrol,DL-9C,Manual,Hatchback,307000,Hyundai,I10
2011,62606,2,Petrol,TN-22,Manual,Hatchback,268000,Hyundai,I10
2018,26880,1,Petrol,MH-02,Automatic,Hatchback,674000,Maruti,Baleno
2017,29937,1,Petrol,TS-08,Automatic,SUV,1105000,Hyundai,Creta
2019,24602,1,Petrol,DL-1C,Manual,Hatchback,698000,Maruti,Baleno
2018,57524,1,CNG,MH-14,Manual,Hatchback,509000,Maruti,Celerio
2018,82143,1,Petrol,HR-51,Manual,Sedan,680000,Maruti,Dzire
2018,59118,2,Petrol,TS-07,Automatic,Hatchback,619000,Maruti,Swift
2021,16866,2,Petrol,TN-90,Manual,Hatchback,693000,Maruti,Swift
2015,118988,1,Petrol,Unknown,Manual,Hatchback,466000,Maruti,Swift
2018,87777,2,Diesel,KA-03,Manual,SUV,593000,Ford,Freestyle
2016,84618,2,CNG,DL-12,Manual,Sedan,483000,Honda,City
2011,96116,2,Petrol,KA-04,Manual,Hatchback,292000,Hyundai,I10
2017,98513,1,Diesel,HR-36,Manual,SUV,738000,Hyundai,Creta
2019,17480,1,Petrol,KA-53,Manual,Hatchback,638000,Hyundai,Grand I10
2014,70171,2,Petrol,DL-1C,Manual,Sedan,513000,Honda,City
2019,33240,1,Petrol,GJ-08,Manual,SUV,956000,Maruti,Xl6
2014,47218,2,Petrol,MH-49,Manual,Sedan,591000,Tata,Zest
2022,14742,1,Petrol,PB-10,Manual,Sedan,1176000,Honda,City
2018,16281,1,Petrol,KA-03,Manual,Sedan,979000,Honda,City
2018,37741,1,Petrol,RJ-45,Manual,Sedan,629000,Tata,Tigor
2015,56176,1,Petrol,TN-09,Manual,Sedan,566000,Honda,City
2016,54996,1,Petrol,GJ-19,Manual,Sedan,706000,Maruti,Swift Dzire
2019,99003,1,Petrol,TS-07,Manual,Hatchback,443000,Maruti,S Presso
2015,49479,3,Petrol,KA-51,Manual,Hatchback,454000,Hyundai,Grand I10
2021,24191,1,CNG,MH-04,Manual,Hatchback,627000,Maruti,New Wagon-R
2017,43181,1,Petrol,UP-15,Manual,Sedan,670000,Maruti,Ciaz
2012,111571,2,Diesel,KA-04,Manual,Hatchback,380000,Hyundai,I20
2015,25736,1,Petrol,MH-05,Manual,Hatchback,286000,Renault,Kwid
2015,52912,1,Petrol,KA-05,Automatic,Hatchback,573000,Hyundai,Grand I10
2016,78347,2,Diesel,MH-02,Automatic,SUV,885000,Hyundai,Creta
2012,52718,1,Petrol,UP-16,Manual,Hatchback,268000,Hyundai,I10
2020,8269,1,Petrol,UP-85,Manual,Hatchback,592000,Hyundai,Grand I10
2012,42619,1,Petrol,KL-40,Manual,Hatchback,248000,Maruti,Alto K10
2014,72147,1,Petrol,WB-06,Manual,Hatchback,232000,Hyundai,I10
2014,87733,2,Petrol,WB-02,Manual,Sedan,323000,Honda,City
2020,17662,1,Diesel,MH-05,Manual,SUV,1307000,Kia,Seltos
2015,71447,2,Petrol,AP-09,Automatic,Sedan,419000,Honda,Amaze
2014,68882,1,Petrol,MH-01,Manual,Sedan,365000,Honda,Amaze
2016,57053,1,Diesel,KA-02,Manual,Hatchback,745000,Maruti,Baleno
2016,54128,2,Petrol,KA-03,Automatic,Hatchback,545000,Hyundai,Grand I10
2020,43973,1,Petrol,RJ-45,Manual,Hatchback,637000,Hyundai,Elite I20
2021,44293,1,CNG,HR-26,Manual,Hatchback,574000,Maruti,New Wagon-R
2019,44293,1,Diesel,TS-06,Manual,SUV,1020000,Renault,Duster
2017,49910,1,Petrol,UP-16,Manual,Hatchback,452000,Maruti,Swift
2018,71619,1,Diesel,MP-04,Manual,SUV,652000,Ford,Freestyle
2019,34861,1,Petrol,GJ-12,Automatic,Hatchback,649000,Maruti,Baleno
